ts,symbol,rec_type,llm_action,llm_urgency,llm_conf,spot_parsed,old_strike,new_strike,old_exp,new_exp,new_dte,new_delta,close_px,open_px,net_cash_sh,status,board_reason,D_ACTION,D_PROMO,D_SAMEEXP,D_NETDEBIT,n_legs,actions,llm_summary,llm_warnings,spot_at_eval,rth_high,delta_dollars,strike_breached_intraday,b4_close_without_recover,old_leap_px,has_new_leap,sold_leap,closed_short,b4_subtype
2026-05-01T12:33:00+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,95,,83.0,,2026-05-08,,,,1.28,,,board_rejected,approval window expired — boot recovery (wait cancelled by r,0,0,0,0,1,roll_leap_close_short,"confidence] Hard Rule 5 states that when LEAP delta > 0.95 the position must be treated as deep-ITM equity and the LEAP must be closed or rolled deep; at delta 0.96 the LEAP has essentially no remaining leverage benefit and carries full downside dollar-for-dollar with the stock. Rolling the LEAP up to a strike in the $55–65 range (targeting delta 0.70–0.80) will reduce capital at risk, restore veg",Hard Rule 5 states that when LEAP delta > 0.95 the position must be treated as deep-ITM equity and the LEAP must be closed or rolled deep; at delta 0.96 the LEAP has essentially no remaining leverage benefit and carries full downside dollar-for-dollar with the stock. Rolling the LEAP up to a strike ,,,,,1,,0,0,1,uncovered
2026-05-01T15:12:54+00:00,MARA,roll_short,ROLL_SHORT_EARLY,urgent,91,,10.5,13.5,2026-05-01,2026-05-15,14,0.33,1.72,0.44,-1.28,filled,approved via web button,0,0,0,1,2,"roll_short_call_close,roll_short_call_open","confidence] The Terminal-DTE Hold override does NOT apply here: the short is 16.5% ITM (far exceeding the ±1.5% ATM zone threshold), extrinsic value is effectively $0.00, and assignment is virtually certain at expiry today. The roll-vs-wait breakeven of $12.22 is essentially the current spot, meaning holding offers no theta benefit — the short closes at full intrinsic either way. This is a Runaway","The Terminal-DTE Hold override does NOT apply here: the short is 16.5% ITM (far exceeding the ±1.5% ATM zone threshold), extrinsic value is effectively $0.00, and assignment is virtually certain at expiry today. The roll-vs-wait breakeven of $12.22 is essentially the current spot, meaning holding of",,,,,0,,0,0,1,
2026-05-02T04:03:45+00:00,AMD,open_pmcc,,,,,,405.0,,2026-05-15,13,0.245,,7.28,,risk_rejected,approved via scout open-position button,0,0,0,0,2,"open_leap,open_short_call",,,,,,,,,1,0,0,
2026-05-04T14:03:15+00:00,MSTR,roll_short,ROLL_SHORT_EARLY,urgent,91,,162.5,,2026-05-08,,,,18.65,,,risk_rejected,,0,0,0,0,1,roll_short_call_close,"confidence] The short leg is breached by 10.4% ($179.33 vs $162.50 strike), which classifies as a RUNAWAY breach (>10% above strike) under BLACK SHEEP rules, mandating a halfway roll with 14-DTE extension if needed. The halfway midpoint is ($162.50 + $179.33) / 2 = $170.92, rounded to the nearest listed strike of $171.00. With 4 DTE remaining and no prior halfway roll in history (cooldown does not","The short leg is breached by 10.4% ($179.33 vs $162.50 strike), which classifies as a RUNAWAY breach (>10% above strike) under BLACK SHEEP rules, mandating a halfway roll with 14-DTE extension if needed. The halfway midpoint is ($162.50 + $179.33) / 2 = $170.92, rounded to the nearest listed strike ",,,,,1,,0,0,1,uncovered
2026-05-06T20:10:55+00:00,AMD,open_pmcc,,,,,,460.0,,2026-05-15,9,0.243,,6.6,,risk_rejected,approved via scout open-position button,0,0,0,0,2,"open_leap,open_short_call",,,,,,,,,1,0,0,
2026-05-08T21:21:04+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,75.0,78.0,81.0,2026-05-15,2026-05-15,7,0.39,4.68,3.68,-1.0,board_rejected,orphan backfill 2026-07-08 (cause=resume_write_failed_or_reg,0,0,1,1,4,"roll_leap_close_short,roll_leap_close,roll_leap_open,roll_leap_open_short","confidence] The LEAP (ASTS 2026-06-18 C40) has delta 0.97, exceeding the 0.95 hard-rule ceiling that requires treating it as deep-ITM equity and rolling. Simultaneously, at 41 DTE it is far below the 120-DTE roll-out threshold. The deterministic guard `_promote_to_roll_leap_if_hard_rule` will promote any roll_short recommendation to roll_leap regardless; honoring this directly. The correct sequenc",⚠️ LEAP delta 0.97 exceeds 0.95 hard-rule ceiling — position behaves as leveraged equity with no meaningful optionality cushion; must roll immediately. | LEAP DTE is 41 — below the 120-DTE mandatory roll-out threshold; time decay acceleration and pin/assignment risk at June expiry are acute. | Short,,,,,0,0.0,1,1,1,
2026-05-08T21:38:54+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,75.05,78.0,81.0,2026-05-15,2026-05-15,7,0.39,4.68,3.68,-1.0,board_approved,via web,0,0,1,1,3,"roll_leap_close_short,roll_leap_open,roll_leap_open_short","confidence] The LEAP (ASTS Jun-2026 C40) has delta 0.97, breaching the hard rule ceiling of 0.95 that requires treating it as deep-ITM equity and rolling. Simultaneously, at 41 DTE it is far below the 120-DTE roll-out threshold. The deterministic guard `_promote_to_roll_leap_if_hard_rule` will promote any roll_short to roll_leap regardless; honoring that directly. The correct sequence is: close th","⚠️ LEAP delta 0.97 exceeds hard rule maximum of 0.95 — position behaves like long stock with no leverage benefit; must roll immediately. | LEAP DTE is 41, well below the 120-DTE mandatory roll threshold — time decay acceleration risk is severe. | Short call mark ($4.68) has moved against the positio",,,,,0,,1,0,1,
2026-05-08T22:09:47+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,,78.0,83.0,2026-05-15,2026-05-15,7,0.346,4.68,3.15,-1.53,board_approved,via web,0,0,1,1,3,"roll_leap_close,roll_leap_close_short,roll_leap_open_short","confidence] Two independent hard rules simultaneously require LEAP action: (1) LEAP delta of 0.97 exceeds the 0.95 ceiling — at this level the LEAP behaves as pure equity with negligible optionality, eliminating the leverage/capital-efficiency thesis of the PMCC; (2) LEAP DTE of 41 is well below the 120-DTE roll-out threshold, meaning time decay is now accelerating rapidly against the long leg. Th",,,,,,0,0.0,0,1,1,
2026-05-09T04:48:18+00:00,MARA,roll_leap,ROLL_LEAP,urgent,95,12.94,12.0,,2026-05-15,,,,1.28,,,filled,approved via web button,0,0,0,0,2,"roll_leap_close_short,roll_leap_close","confidence] The LEAP (MARA 2026-06-18 C10) has 40 DTE, triggering the hard LEAP management rule requiring a roll-out at 120 DTE — this is critically overdue. The deterministic guard (_promote_to_roll_leap_if_hard_rule) will promote any short-leg action to roll_leap given long_leg_dte < 120. Additionally, the short call at $12.00 is ITM by 7.8% ($12.94 spot), which qualifies as a Major breach (3-8%","The LEAP (MARA 2026-06-18 C10) has 40 DTE, triggering the hard LEAP management rule requiring a roll-out at 120 DTE — this is critically overdue. The deterministic guard (_promote_to_roll_leap_if_hard_rule) will promote any short-leg action to roll_leap given long_leg_dte < 120. Additionally, the sh",,,,,1,0.0,0,1,1,fully_naked
2026-05-11T12:36:14+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,,78.0,81.0,2026-05-15,2026-05-15,4,0.389,4.68,3.68,-1.0,board_rejected,approval timeout,0,0,1,1,4,"roll_leap_close_short,roll_leap_close,roll_leap_open,roll_leap_open_short","confidence] Two independent hard rules both mandate a LEAP roll immediately: (1) LEAP delta of 0.97 exceeds the 0.95 ceiling — at this level the LEAP behaves as synthetic equity with negligible extrinsic, eliminating the vega/theta edge that justifies the PMCC structure; (2) LEAP DTE of 38 is critically below the 120-DTE roll-out threshold, meaning time decay is now accelerating against the long l",,,,,,0,0.0,1,1,1,
2026-05-11T12:36:20+00:00,CIFR,roll_leap,ROLL_LEAP,elevated,95,20.55,22.5,,2026-05-15,,,,0.45,,,board_rejected,approval timeout,0,0,0,0,2,"roll_leap_close_short,roll_leap_close","confidence] Hard Rule 5 states that when LEAP delta >= 0.95, treat as deep ITM equity and close or roll deep — the deterministic guard (_promote_to_roll_leap_if_hard_rule) will promote any roll_short to roll_leap regardless, so the correct primary action is roll_leap. The CIFR 2027-01-15 C7.00 is deep ITM with intrinsic of $13.55/sh vs a $7.35 cost basis, carrying a delta of 0.95 which means it ha","Hard Rule 5 states that when LEAP delta >= 0.95, treat as deep ITM equity and close or roll deep — the deterministic guard (_promote_to_roll_leap_if_hard_rule) will promote any roll_short to roll_leap regardless, so the correct primary action is roll_leap. The CIFR 2027-01-15 C7.00 is deep ITM with ",20.55,21.49,0.94,0,1,0.0,0,1,1,fully_naked
2026-05-12T12:34:09+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,82.55,78.0,92.0,2026-05-15,2026-05-15,3,0.345,8.85,3.65,-5.2,board_rejected,approval timeout,0,0,1,1,4,"roll_leap_close_short,roll_leap_close,roll_leap_open,roll_leap_open_short",confidence] Two independent hard rules both mandate a LEAP roll immediately: (1) LEAP delta of 0.95 meets the ≥0.95 threshold where the LEAP behaves as deep-ITM equity and must be rolled or closed per Rule 5; (2) LEAP DTE of 37 is far below the 120-DTE roll-out trigger in Rule 6. The deterministic guard `_promote_to_roll_leap_if_hard_rule` would promote any roll_short to roll_leap here regardless.,,,,,,0,0.0,1,1,1,
2026-05-13T12:37:20+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,72.96,78.0,,2026-05-22,,,,3.5,,,board_rejected,orphan backfill 2026-07-08 (cause=resume_write_failed_or_reg,0,0,0,0,2,"roll_leap_close,roll_leap_close_short","confidence] Two independent hard rules both mandate a LEAP roll: (1) LEAP delta of 0.98 exceeds the 0.95 threshold triggering the 'deep ITM equity' rule, meaning the LEAP has lost its options leverage and must be rolled to a lower delta; (2) LEAP DTE of 36 is far below the 120-DTE roll-out trigger. The deterministic guard `_promote_to_roll_leap_if_hard_rule` will promote any roll_short recommendat",,,,,,1,0.0,0,1,1,fully_naked
2026-05-14T11:42:51+00:00,OPEN,roll_short,ROLL_SHORT,routine,95,4.58,5.5,,2026-05-15,,,,0.02,,,filled,approved via web button,0,0,0,0,1,roll_short_call_close,"confidence] With 1 DTE and only $0.02/sh extrinsic remaining (vs $0.47 original credit), the short leg has captured effectively all available theta and meets the ≤2 DTE roll trigger. The terminal-DTE override (Rule 4) defaults to HOLD only when the underlying is within ±1.5% of the strike — here spot ($4.58) is 16.7% below the $5.50 strike, so the ATM-zone hold condition does not apply. The LEAP (","With 1 DTE and only $0.02/sh extrinsic remaining (vs $0.47 original credit), the short leg has captured effectively all available theta and meets the ≤2 DTE roll trigger. The terminal-DTE override (Rule 4) defaults to HOLD only when the underlying is within ±1.5% of the strike — here spot ($4.58) is",,,,,1,,0,0,1,uncovered
2026-05-14T12:35:41+00:00,ASTS,roll_leap,ROLL_LEAP,urgent,97,74.81,78.0,80.0,2026-05-22,2026-05-22,8,0.376,3.7,2.98,-0.72,board_rejected,approval timeout,0,0,1,1,4,"roll_leap_close_short,roll_leap_close,roll_leap_open,roll_leap_open_short","confidence] Two independent hard rules both mandate a LEAP roll immediately: (1) LEAP delta = 0.95 meets the ≥0.95 threshold where the LEAP is treated as deep-ITM equity and must be closed or rolled deep (Rule 5), and (2) LEAP DTE = 35 is far below the 120-DTE roll-out trigger (Rule 6). The deterministic guard `_promote_to_roll_leap_if_hard_rule` would promote any roll_short to roll_leap here rega","⚠️ LEAP DTE = 35 is critically low — time decay is now accelerating on the long leg, eroding the synthetic stock replacement value rapidly; delay compounds losses. | LEAP delta = 0.95 means the position behaves like long stock with no convexity benefit; a sharp reversal in ASTS would not be cushione",,,,,0,0.0,1,1,1,
2026-05-14T12:35:48+00:00,BLSH,roll_short,HOLD,routine,92,41.81,46.5,,2026-05-15,,,,2.76,,,board_rejected,approval timeout,1,0,0,0,1,roll_short_call_close,"confidence] With 1 DTE and spot at $41.81 vs. strike $46.50, the underlying is approximately 10.3% below the short strike — well outside the ±1.5% ATM zone that would trigger concern. The short carries $2.76/sh of pure extrinsic value ($276 total) that will decay to zero by expiration if spot remains below $49.26 (the roll-vs-wait breakeven, +17.82% from here). Rolling now would forfeit that entir","With 1 DTE and spot at $41.81 vs. strike $46.50, the underlying is approximately 10.3% below the short strike — well outside the ±1.5% ATM zone that would trigger concern. The short carries $2.76/sh of pure extrinsic value ($276 total) that will decay to zero by expiration if spot remains below $49.",,,,,1,,0,0,1,uncovered
